Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Chanel;0081509;P2;problem;Integration;closed;2024-11-11;2025-01-18 12:25:38;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:15;N;;
Chanel;0081715;P3;problem;Integration;closed;2024-11-14;2025-02-10 12:17:00;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:17;N;;
Chanel;0081928;P3;problem;Application;closed;2024-11-19;2025-07-16 12:04:00;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:41;N;;
Chanel;0081935;P3;problem;Application;closed;2024-11-19;2025-06-27 13:38:31;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:36;N;;
Chanel;0081945;P2;problem;Integration;closed;2024-11-19;2024-11-19 14:14:37;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:13;N;;
Chanel;0081955;P2;problem;Integration;closed;2024-11-19;2024-11-21 18:13:26;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:14;N;;
Chanel;0082278;P2;problem;Application;closed;2024-11-26;2024-11-26 12:18:28;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:14;N;;
Chanel;0082281;P2;problem;Integration;closed;2024-11-26;2024-11-26 14:06:23;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:14;N;;
Chanel;0082530;P2;problem;Integration;closed;2024-11-29;2025-01-30 17:04:39;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:16;N;;
Chanel;0082647;P3;problem;Integration;closed;2024-12-03;2025-02-07 12:36:19;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:16;N;;
Chanel;0082853;P2;problem;Integration;closed;2024-12-06;2024-12-26 12:56:31;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:15;N;;
Chanel;0082882;P2;problem;Application;closed;2024-12-09;2024-12-10 14:43:15;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:15;N;;
Chanel;0082884;P2;problem;Application;closed;2024-12-09;2025-03-03 15:07:58;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:22;N;;
Chanel;0083218;P1;problem;Application;closed;2024-12-16;2025-02-13 10:06:55;0;298;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:17;N;;
Chanel;0083496;P4;problem;Integration;closed;2024-12-24;2026-01-06 21:55:26;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 11:03:14;N;;
Chanel;0083597;P4;problem;Integration;closed;2024-12-29;2025-10-24 22:11:51;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:23;N;;
Chanel;0083764;P2;problem;Integration;closed;2025-01-03;2025-03-12 17:50:52;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:26;N;;
Chanel;0084159;P1;problem;Application;closed;2025-01-13;2025-01-13 17:59:33;0;2;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:15;N;;
Chanel;0084470;P2;problem;Integration;closed;2025-01-20;2025-01-24 18:09:40;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:16;N;;
Chanel;0084743;P1;problem;Application;closed;2025-01-25;2025-02-10 16:40:03;0;22959;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:17;N;;
Chanel;0085290;P3;problem;Application;closed;2025-02-03;2025-03-03 15:01:57;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:22;N;;
Chanel;0087522;P3;problem;Integration;closed;2025-03-07;2025-06-09 18:04:29;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:12;N;;
Chanel;0088446;P4;problem;Integration;closed;2025-03-20;2026-01-09 14:07:03;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:51;N;;
Chanel;0088767;P4;problem;Integration;closed;2025-03-26;2026-01-09 14:06:21;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:50;N;;
Chanel;0088799;P2;problem;Integration;closed;2025-03-26;2026-01-09 14:05:36;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 11:03:50;N;;
Chanel;0088830;P1;problem;Integration;closed;2025-03-27;2025-04-16 15:37:04;0;29555;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:58;N;;
Chanel;0088875;P1;problem;Integration;closed;2025-03-27;2025-04-04 17:40:03;0;11536;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:28;N;;
Chanel;0090204;P2;problem;Application;closed;2025-04-17;2025-04-17 01:02:37;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:59;N;;
Chanel;0090748;P1;problem;Application;closed;2025-04-28;2025-05-19 16:23:24;0;30606;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:06;N;;
Chanel;0090790;P1;problem;Application;closed;2025-04-29;2025-07-14 12:00:04;0;4096;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:39;N;;
Chanel;0091024;P2;problem;Application;closed;2025-05-02;2025-05-02 17:40:08;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:03;N;;
Chanel;0091708;P2;problem;Integration;closed;2025-05-16;2026-01-09 14:03:31;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:50;N;;
Chanel;0092069;P2;problem;Integration;rejected;2025-05-22;;0;;RCIB;PRD;0,00;;N/A;;N;;
Chanel;0092919;P2;problem;Integration;closed;2025-06-04;2026-01-09 14:01:54;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:49;N;;
Chanel;0093516;P4;problem;Application;closed;2025-06-17;2026-01-09 13:53:40;0;0;RCIB;PRD;0,03;;N/A;2026-03-03 11:03:49;N;;
Chanel;0094434;P3;problem;Integration;closed;2025-07-03;2025-07-07 10:50:35;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:38;N;;
Chanel;0095387;P3;problem;Integration;closed;2025-07-15;2026-01-09 14:00:30;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:49;N;;
Chanel;0095525;P2;problem;Application;closed;2025-07-17;2025-07-17 12:33:42;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:41;N;;
Chanel;0095560;P3;problem;Application;closed;2025-07-17;2025-07-17 19:12:58;0;0;XOffice;PRD;0,00;;N/A;2026-03-03 10:03:19;N;;
Chanel;0095621;P3;problem;Application;closed;2025-07-18;2025-12-31 18:40:47;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 11:03:18;N;;
Chanel;0096421;P2;problem;Application;closed;2025-08-04;2025-10-08 12:27:41;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:17;N;;
Chanel;0096464;P3;problem;Application;closed;2025-08-04;2025-08-04 23:30:47;0;0;XOffice;UAT;0,00;;N/A;2026-03-03 10:03:48;N;;
Chanel;0097031;P3;problem;Integration;rejected;2025-08-15;;0;;RCIB;PRD;0,00;;N/A;;N;;
Chanel;0097475;P3;problem;Application;closed;2025-08-25;2026-01-09 13:53:30;0;0;Xstore;PRD;0,03;;N/A;2026-03-03 11:03:49;N;;
Chanel;0101353;P3;problem;Integration;closed;2025-10-01;2025-10-01 14:41:50;0;0;RCIB;QA;0,00;;N/A;2026-03-03 10:03:05;N;;
Chanel;0101639;P4;problem;Integration;closed;2025-10-07;2025-10-07 09:28:55;0;0;RCIB;QA;0,00;;N/A;2026-03-03 10:03:12;N;;
Chanel;0102002;P2;problem;Application;closed;2025-10-13;2025-10-14 14:35:56;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:46;N;;
Chanel;0102094;P3;problem;Integration;closed;2025-10-14;2025-10-14 17:47:31;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:47;N;;
Chanel;0102282;P3;problem;Application;closed;2025-10-17;2025-10-17 19:31:46;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:55;N;;
Chanel;0102811;P2;problem;Application;closed;2025-10-29;2025-10-29 15:09:26;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:25;N;;
Chanel;0103622;P3;problem;Application;closed;2025-11-13;2025-12-10 11:24:51;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:27;N;;
Chanel;0103623;P1;problem;Integration;closed;2025-11-13;2025-11-13 08:56:29;0;1;RCIB;PRD;0,00;;N/A;2026-03-03 10:03:03;N;;
Chanel;0104371;P3;problem;Application;closed;2025-11-25;2025-11-25 21:50:08;0;0;Xstore;PRD;0,00;;N/A;2026-03-03 10:03:34;N;;
Chanel;0104525;P2;problem;Integration;waiting_client_feedback;2025-11-27;;0;;RCIB;PRD;0,00;;N/A;;N;;
Chanel;0104577;P4;user_request;Integration;closed;2025-11-28;2026-01-06 22:06:39;0;0;RCIB;PRD;0,00;;N/A;2026-01-14 09:01:48;Y;;
Chanel;0105147;P3;problem;Application;closed;2025-12-08;2025-12-08 23:11:19;0;0;Xstore;PRD;0,00;;N/A;2026-03-06 15:03:16;N;;
Chanel;0105695;P2;problem;Integration;closed;2025-12-17;2025-12-17 14:24:30;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:05;N;;
Chanel;0106650;P2;internal;Application;resolved;2026-01-05;2026-01-05 17:40:44;0;;Internal;PRD;0,06;;N/A;;N;;
Chanel;0106729;P3;user_request;Application;closed;2026-01-06;2026-01-28 15:13:55;0;0;XOffice;PRD;0,25;;N/A;2026-02-05 09:02:39;Y;;
Chanel;0106930;P2;incident;Application;closed;2026-01-09;2026-02-16 19:22:01;0;0;XOffice;PRD;1,31;108791;N/A;2026-02-24 09:02:39;Y;;
Chanel;0107012;P4;user_request;Application;closed;2026-01-12;2026-01-19 20:20:58;0;0;XOffice;QA;0,28;;N/A;2026-01-27 09:01:42;Y;;
Chanel;0107016;P2;incident;Integration;closed;2026-01-12;2026-01-15 09:33:13;0;0;RCIB;PRD;0,19;107192;N/A;2026-01-23 09:01:41;Y;;
Chanel;0107062;P3;user_request;Application;closed;2026-01-13;;0;0;Xstore;PRD;0,16;;N/A;2026-01-24 09:01:44;Y;;
Chanel;0107192;P2;problem;Integration;closed;2026-01-15;2026-01-15 09:33:39;0;0;RCIB;PRD;0,00;;N/A;2026-03-03 11:03:58;N;;
Chanel;0107283;P2;incident;Application;closed;2026-01-16;;0;0;Xstore;QA;0,66;;N/A;2026-02-13 09:02:47;Y;;
Chanel;0107493;P2;incident;Application;closed;2026-01-21;;0;0;Xstore;PRD;1,13;107968;N/A;2026-01-31 09:01:42;Y;;
Chanel;0107539;P2;incident;Application;closed;2026-01-21;;0;0;Xstore;PRD;0,25;;N/A;2026-01-30 09:01:55;Y;;
Chanel;0107574;P2;user_request;Application;closed;2026-01-22;2026-02-03 18:22:40;0;0;Xstore;QA;0,16;;N/A;2026-02-11 09:02:48;Y;;
