Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0092195;P2;problem;Application;closed;2025-05-24;2025-08-12 22:28:17;0;512;XStore;QA;0,00;;N/A;2026-03-03 10:03:23;N;;
Farmacia Arrocha;0092197;P2;problem;Application;closed;2025-05-24;2025-08-12 22:33:22;0;764;XStore;QA;0,00;;N/A;2026-03-03 10:03:25;N;;
Farmacia Arrocha;0093398;P2;problem;Application;closed;2025-06-13;2025-08-12 22:37:49;0;457;XStore;PRD;0,00;;N/A;2026-03-03 10:03:26;N;;
Farmacia Arrocha;0093497;P2;problem;Application;closed;2025-06-16;2025-08-12 22:39:19;0;98;XStore;QA;0,00;;N/A;2026-03-03 10:03:26;N;;
Farmacia Arrocha;0093500;P2;problem;Application;closed;2025-06-16;2025-08-12 22:31:02;0;33;XStore;PRD;0,00;;N/A;2026-03-03 10:03:24;N;;
Farmacia Arrocha;0094078;P1;problem;Application;closed;2025-06-30;2025-11-07 15:22:45;0;106571;XStore;PRD;0,00;;N/A;2026-03-03 10:03:56;N;;
Farmacia Arrocha;0095289;P1;problem;Application;closed;2025-07-14;2025-10-13 23:05:16;0;76609;XStore;PRD;0,00;;N/A;2026-03-03 10:03:21;N;;
Farmacia Arrocha;0095601;P3;problem;Application;closed;2025-07-18;2025-09-23 16:06:55;0;2856;XStore;PRD;0,00;;N/A;2026-03-03 10:03:48;N;;
Farmacia Arrocha;0095972;P3;problem;Application;closed;2025-07-25;2025-09-22 21:37:50;0;58;XStore;PRD;0,00;;N/A;2026-03-03 10:03:56;N;;
Farmacia Arrocha;0096348;P1;problem;Application;closed;2025-08-02;2025-09-23 16:14:45;0;5818;XStore;PRD;0,00;;N/A;2026-03-03 10:03:49;N;;
Farmacia Arrocha;0096462;P4;problem;Batch;closed;2025-08-04;2025-08-04 23:07:41;0;0;XStore;QA;0,00;;N/A;2026-03-03 10:03:48;N;;
Farmacia Arrocha;0096542;P2;problem;Application;closed;2025-08-05;2025-08-05 23:31:38;0;0;ArrochaParati;PRD;0,00;;N/A;2026-03-03 10:03:15;N;;
Farmacia Arrocha;0096655;P1;problem;Application;closed;2025-08-07;2025-08-08 21:35:53;0;1762;ArrochaParati;PRD;0,00;;N/A;2026-03-03 10:03:18;N;;
Farmacia Arrocha;0096828;P4;problem;Application;closed;2025-08-12;2025-10-08 09:42:56;0;0;APP;PRD;0,00;;N/A;2026-03-03 10:03:14;N;;
Farmacia Arrocha;0097024;P2;problem;Application;closed;2025-08-15;2025-08-15 19:02:16;0;58;XStore;PRD;0,00;;N/A;2026-03-03 10:03:40;N;;
Farmacia Arrocha;0097036;P2;incident;Application;closed;2025-08-15;2026-03-13 12:47:00;0;61775;APP;PRD;0,00;110090;N/A;2026-03-21 09:03:40;Y;;
Farmacia Arrocha;0097112;P1;problem;Application;closed;2025-08-18;2025-11-07 14:50:56;0;757;XStore;PRD;0,00;;N/A;2026-03-03 10:03:56;N;;
